prompt,frequency
"Generate a 16:9 image:  still from a bollywood TV Serial , A wide-angle, low-angle shot captures a classroom scene. A voluptuous  sweaty wet    bengali woman with glistening skin in her late 30s or early 40s revealing very  huge cleavage., wearing a low-cut blue top, sits on a teacher's desk. Her legs are spread apart, and a hand is on her inner thigh. A man in a white shirt and black pants stands between her legs, leaning in close and holding her chest. Another man in a white shirt kneels below, looking up. Two other students, both men, are seated at desks. One is looking at the scene with a surprised expression, and the other has a hand on his face, looking away. The emotions range from intense focus and desire to surprise and embarrassment. The setting is a detailed classroom with a blackboard displaying science notes, posters on the walls, and a globe on the desk. The lighting is bright and even, highlighting the details of the room and the figures. The style is hyper-realistic, with sharp focus and vibrant colors.dont include `  in the reply",1
"A captivating shot of two voluptuous indian woman, their body glistening with sweat and mud  in A realistic temple ruin during Nighttime, showing statues of goddesses, the first woman is a blue skinned woman hindu goddess  revealing   huge cleavage in in her late 40s or early 50s, she is with flower adorned hair in a sleek, high ponytail, She wears an intricate, form-fitting, glossy black outfit that combines elements of a bodysuit, a corset, and a flowing cape. The bodysuit part features a high collar, long sleeves, and a plunging neckline that reveals cleavage, with what appears to be a white or very light gray insert or design at the crotch area. The most distinctive feature is a long, flowing black cape or train that drapes behind her, adorned with a detailed, macabre motif of skeletal hands and arms reaching upwards and gripping the fabric, creating a sense of both elegance and dread. She wears high-heeled, over-the-knee boots in the same glossy black material.. she is laying on the ground with her back on the ground. the second voluptuous indian woman revealing    huge cleavage in in her late 40s or early 50s, she is with a tiara fit high ponytail, She is wearing a white crop top with ""NAUGHTY AMERICA"" written in red and blue lettering. The top is very short, ending just below her bust, with a loose fit. She is also wearing white panties with a delicate floral pattern in shades of orange and yellow. The panties have a lace trim along the edges. Her hair is long and dark, and she is holding a strand of it with her left hand.. she in on her four, over the top of first woman. , their mouth are very close. The overall mood is intense and somewhat surreal, with numerous lit candles creating a warm glow in the background.The lighting should create a slightly ritualistic and intimate atmosphere. The focus should be on the wet skin. still from a bollywood movie, highly detailed.dont include `  in the reply",1
"Generate a 16:9 image:  still from a 80s bollwood film , featuring two figures in a warm, dimly lit tavern or rustic interior. On the right, a massive, imposing Orc male, with weathered green skin, large tusks, a grizzled grey beard intricately braided, and a high ponytail. He has a stern, almost melancholic or thoughtful expression, his brow slightly furrowed. His massive, muscular arms are gently cradling the smaller figure. He wears dark, rugged clothing with leather accents and fur elements.

Seated comfortably and intimately on the Orc's lap, slightly angled towards the viewer, is a voluptuous    South Asian   badi chuchi wali aurut revealing    huge cleavage in in her late 20s or early 30s, she is with hijabi straight hair, she is wearing a red latex or patent leather briefs or hot pants, which are partially obscured but show a smooth, glossy texture and a snug fit. Beneath these, or as part of them, are red sheer stockings or hold-ups with a subtle sheen, ending in bright red high-heeled pumps with ankle straps. On her chest, she wears decorative, sparkling red pasties, possibly adorned with cascading chains or delicate beaded embellishments that dangle from the center of each pasty. Around her neck is a simple, choker-style necklace in red, possibly beaded or a thin red band., her eyes closed or half-closed, and her mouth is open in an expression of intense pleasure, exhalation, or release..  Her head is tilted back slightly, resting against the Orc's shoulder or chest, and she is smiling warmly and contentedly, looking directly towards the viewer with a soft, affectionate gaze. Her posture is relaxed and trusting, with her hands clasped gently in her lap or resting on her thighs. 

The overall mood is one of unexpected tenderness and affection, juxtaposing the Orc's formidable appearance with the woman's gentle presence and their intimate connection. The lighting is soft and warm, emanating from multiple overhead lanterns and possibly a hearth in the background, casting subtle highlights and shadows that emphasize textures. The background is slightly blurred but suggests a detailed, wood-heavy environment with various fantasy elements. The composition is a medium shot, focusing on the two figures and their interaction.""dont include `  in the reply",1
"A candid, high-angle shot in a modern kitchen setting. A voluptuous   Indian   Goddess with Multiple hands  in her late 40s or early 50s revealing enormously  huge cleavage. with long, dark hair and striking features, wearing an unbuttoned white silk or satin shirt revealing her bare breasts, holds a chocolate cake with a lit candle shaped like a '2' and a question mark. She looks directly at the viewer with a seductive and slightly surprised or playful expression, her lips slightly parted. Beside her, An Indian frail man in his late teens or early twenties  with curly brown hair and black-rimmed glasses, wearing a simple blue t-shirt, stands with a dramatically wide-eyed and open-mouthed expression of shock or surprise, holding one hand up in a 'stop' gesture. His other hand is lightly placed on the woman's side, near her breast. The background features light wooden kitchen cabinets and a white wall. The overall emotion is a mix of playful surprise, seduction, and perhaps a hint of embarrassment or shock.dont include `  in the reply",1
"A highly detailed, wide-angle shot set in a dimly lit, empty classroom with rows of traditional wooden desks and chairs. In the center, a seductive voluptuous sweaty   Indian  woman with glistening skin in her late 30s or early 40s revealing    huge cleavage., A teacher with long, dark hair, She is wearing a highly detailed, black sheer lingerie set. The set consists of a sheer black corset with underwire and delicate red rose appliqu̩s on the cups. The roses are a deep, vibrant red. The corset cinches her waist, highlighting her hourglass figure. The bottom piece is a high-cut, sheer black thong with matching red rose appliqu̩s on the hips and thighs. The entire ensemble is a delicate, intricate design with thin straps and a form-fitting silhouette. The style is sensual, elegant, and sophisticated. , is positioned provocatively on top of a classroom desk. Her legs are spread wide, one leg bent, and the other leg extended. Her head is tilted back, mouth slightly open, and eyes closed or heavily lidded, conveying intense pleasure or ecstasy. Her hands are grasping at her own chest or clothing, suggesting disarray.

Two An Indian frail man in his late teens or early twenties  with short height, , both wearing white t-shirts and dark pants, are positioned on either side of the teacher. Their faces are not fully visible or are blurred/obscured, directing focus to the central figure. One student is kneeling or squatting on the desk next to her, his hand reaching towards her chest or upper body. The other student is standing beside the desk, leaning in close, with his hand also reaching towards her. Their body language should convey a sense of intense engagement and focus on the teacher. The overall mood should be illicit and highly suggestive, with a focus on the dynamics between the three figures. Emphasize realistic lighting, skin textures, and fabric details to enhance the realism of the scene.dont include `  in the reply",1
"Generate a 16:9 image:  a studio shot , Three individuals are in a bedroom setting. a voluptuous    Indian  woman  in her late 40s or early 50s revealing   huge cleavage. with long piggytailed hair and glasses,She wears thigh-high white stockings with blue bows and matching blue arm guards that have ribbon detailing. A sword is strapped to her back, and a second sword is at her waist., and she is looking towards the right with a slight smile. Another woman, a voluptuous Indian woman in her late 20s or early 30s revealing enormously  huge cleavage and wet glistening skin with with flower adorned hair in a sleek, high ponytail,she is wearing a dark blue lingerie set with striking harness and strap details. The bra is a deep navy or midnight blue, featuring triangular cups with visible seams and a subtle sheen. It has thin, adjustable shoulder straps that appear to have metallic O-rings or D-rings connecting them to the cups, adding a delicate hardware element.The matching bottoms are a thong or very cheeky brief style in the same dark blue. The most distinctive feature is the intricate harness detailing around the waist and hips. Multiple thin straps extend from the waistband down over the hips, possibly connecting to a garter belt or forming part of the panty itself. These straps often feature small metallic rings or adjusters, creating a web-like, architectural design.She is also wearing sheer black thigh-high stockings, which have a thicker, opaque black band at the top, just below the thigh, giving a distinct two-tone effect.Additional accessories include large, gold-toned hoop earrings and multiple rings on her fingers. The overall aesthetic is sensual and modern, emphasizing the interplay of straps and hardware against the deep blue fabric and sheer black stockings. kneels in front of the woman, reaching out to touch her breast with her right hand .  A shirtless indian man,in his late 50s or early 60s seen from the back, stands to the right, holding a camera and filming the two woman. The room has a dark wall with a minimalist line drawing behind the bed, and a window showing greenery in the background. The overall mood is intimate and suggestive.dont include `  in the reply",1
"Generate a 16:9 image:  still from a 90s bollwood film , A highly detailed, scene of apprehension or detainment. A voluptuous    Indian  woman  in her late 40s or early 50s revealing   huge cleavage., female police officer, She is wearing a light blue, short-sleeved, cropped police shirt with a zippered front that accentuates her cleavage. The shirt has lundaroga embroidered or printed on the chest area, possibly on a small patch or directly on the fabric. She is wearing high-waisted, form-fitting black patent leather shorts with a visible black belt and a silver buckle. Attached to the belt are accessories, including a black holster on her right hip. Her posture is dominant and authoritative, with her left hand firmly gripping the wrist of the person she is detaining. Her head is slightly tilted, and a subtle, knowing expression is visible on her face, suggesting control and a hint of amusement or sternness. She is wearing dark, knee-high boots with buckles and a police cap.

The detained individual, a voluptuous Indian woman in her late 20s or early 30s revealing   huge cleavage and wet glistening skin, She is bent over the hood of the jeep, her upper torso pressed against it, with her hands cuffed behind her back. Her head is turned towards the viewer, and her mouth is slightly agape, conveying a sense of discomfort, struggle, or perhaps a gasp. Her body posture is one of vulnerability and submission, with her bare feet visible on the pavement. She is wearing a form-fitting, sleeveless silver bodysuit with a metallic, slightly shiny finish. The suit has a deep V-neckline that plunges to the mid-torso and high-cut sides that accentuate the hips. Her posture is confident and relaxed, with her hands resting on her thighs. The woman has long, straight dark hair, full makeup with dramatic eyelashes, and light-colored nail polish on her fingers. The overall aesthetic is glamorous and edgy..

The setting is an outdoor, sunny environment with a clear blue sky. Palm trees are visible in the background on the left, and a long road with utility poles or lights stretches into the distance on the right. Another, more modern police vehicle, possibly an SUV, is parked further down the road behind the officer. The composition should emphasize the power dynamic between the two figures and the tension of the situation. dont include `  in the reply",1
", A highly detailed, scene of apprehension or detainment. A voluptuous    Indian  woman with glistening skin in her late 40s or early 50s revealing    huge cleavage., female police officer, She is wearing a light brown, short-sleeved, cropped police shirt with a zippered front that accentuates her cleavage. The shirt has burchuchi embroidered or printed on the chest area, possibly on a small patch or directly on the fabric. She is wearing high-waisted, form-fitting black patent leather shorts with a visible black belt and a silver buckle. Attached to the belt are accessories, including a black holster on her right hip. Her posture is dominant and authoritative, with her left hand firmly gripping the wrist of the person she is detaining. Her head is slightly tilted, and a subtle, knowing expression is visible on her face, suggesting control and a hint of amusement or sternness. She is wearing dark, knee-high boots with buckles and a police cap.

The detained individual, a voluptuous Indian woman in her late 20s or early 30s revealing very  huge cleavage and wet glistening skin, She is bent over the hood of the jeep, her upper torso pressed against it, with her hands cuffed behind her back. Her head is turned towards the viewer, and her mouth is slightly agape, conveying a sense of discomfort, struggle, or perhaps a gasp. Her body posture is one of vulnerability and submission, with her bare feet visible on the pavement. She is wearing a provocative black leather harness lingerie set. The top is a bralette-style harness with circular gold rings and thin gold chains adorning the front and connecting to the high-neck choker collar. The bottoms are a matching thong with a high-waisted harness featuring gold rings, and garter straps on the thighs are connected by more gold chains. She also wears long, fitted black leather gloves that reach past her elbows..

The setting is an outdoor, sunny environment with a clear blue sky. Palm trees are visible in the background on the left, and a long road with utility poles or lights stretches into the distance on the right. Another, more modern police vehicle, possibly an SUV, is parked further down the road behind the officer. The composition should emphasize the power dynamic between the two figures and the tension of the situation. dont include `  in the reply",1
"Generate a 16:9 image:  still from a Erotica, A highly detailed, scene of apprehension or detainment. A voluptuous sweaty   south Indian woman with glistening skin in her late 30s or early 40s revealing very  huge cleavage., female police officer, She is wearing a light blue, short-sleeved, cropped police shirt with a zippered front that accentuates her cleavage. The shirt has burchuchi embroidered or printed on the chest area, possibly on a small patch or directly on the fabric. She is wearing high-waisted, form-fitting black patent leather shorts with a visible black belt and a silver buckle. Attached to the belt are accessories, including a black holster on her right hip. Her posture is dominant and authoritative, with her left hand firmly gripping the wrist of the person she is detaining. Her head is slightly tilted, and a subtle, knowing expression is visible on her face, suggesting control and a hint of amusement or sternness. She is wearing dark, knee-high boots with buckles and a police cap.

The detained individual, a voluptuous Indian woman in her late 20s or early 30s revealing enormously  huge cleavage and wet glistening skin, She is bent over the hood of the jeep, her upper torso pressed against it, with her hands cuffed behind her back. Her head is turned towards the viewer, and her mouth is slightly agape, conveying a sense of discomfort, struggle, or perhaps a gasp. Her body posture is one of vulnerability and submission, with her bare feet visible on the pavement. She is wearing a two-piece lingerie set and stockings. The lingerie set is a black sheer fishnet material with a rhinestone grid pattern that sparkles. The bra is a simple triangle cut, and the bottoms are a minimalistic thong style. She is also wearing a pair of matching black fishnet stockings that go up to mid-thigh. Her hands are raised to her head, with one hand holding a strap of her bra. The background is a simple, modern room with a dark wood-paneled wall. The overall feel is both daring and stylish..

The setting is an outdoor, sunny environment with a clear blue sky. Palm trees are visible in the background on the left, and a long road with utility poles or lights stretches into the distance on the right. Another, more modern police vehicle, possibly an SUV, is parked further down the road behind the officer. The composition should emphasize the power dynamic between the two figures and the tension of the situation. dont include `  in the reply",1
", Three individuals are in a bedroom setting. a voluptuous sweaty   Bangladeshi  woman with glistening skin in her late 40s or early 50s revealing    huge cleavage. with a red tika messy hair and glasses,She is wearing a navy blue one-piece lingerie bodysuit made of a sheer, lightweight mesh fabric that is opaque at the bust and torso but transparent in the center. The bodysuit features a halter neckline with a high collar that fastens with a delicate gold ring at the base. It also has adjustable garter straps hanging down from the hips., and she is looking towards the right with a slight smile. Another woman, a voluptuous Indian woman in her late 20s or early 30s revealing    huge cleavage  with with long hair in a sleek, high ponytail,She wears thigh-high white stockings with blue bows and matching blue arm guards that have ribbon detailing. A sword is strapped to her back, and a second sword is at her waist. kneels in front of the woman, reaching out to touch her breast with her right hand .  A shirtless indian man,in his late 50s or early 60s seen from the back, stands to the right, holding a camera and filming the two woman. The room has a dark wall with a minimalist line drawing behind the bed, and a window showing greenery in the background. The overall mood is intimate and suggestive.dont include `  in the reply",1
"Generate a 16:9 image:  still from a bollywood movie, Three individuals are in a bedroom setting. a voluptuous    Indian  woman  in her late 30s or early 40s revealing    huge cleavage. with oily straight hair and glasses,She is wearing a vibrant, all-pink ensemble is the centerpiece of the image. The main garment is a shiny, metallic pink bodysuit with a fitted, bustier-style bodice featuring a subtle underwire and seams for structure. It has thin shoulder straps and a high-cut leg opening. The bodysuit is paired with matching, elbow-length gloves in the same shiny material. The gloves are adorned with several rows of sparkling rhinestone bangles on the forearms. The entire outfit has a sleek, futuristic, and glamorous aesthetic., and she is looking towards the right with a slight smile. Another woman, a voluptuous Indian woman in her late 20s or early 30s revealing very  huge cleavage and wet glistening skin with with flower adorned straight hair,She is wearing a dominatrix-inspired outfit, is shown crouching on a white platform. She is dressed in a full-body black fishnet bodysuit that is layered over a black bikini set. The outfit is accented with multiple silver chains and hardware, including a collar-style choker with dangling crucifix charms, and a detailed body harness with chains that wrap around her torso and waist. She also wears thigh-high black leather stiletto boots and a pair of black fingerless leather gloves. Her accessories include rectangular, futuristic-style dark sunglasses and large, elaborate cross-shaped earrings. kneels in front of the woman,  kissing the first woman.  A shirtless indian man, seen from the back, stands to the right, holding a camera and filming the two woman. The room has a dark wall with a minimalist line drawing behind the bed, and a window showing greenery in the background. The overall mood is intimate and suggestive.dont include `  in the reply",1
